checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
between 0 and 200,6,existing paid,radio/tv,2063,less 100,less 1 year,4,male mar/wid,none,3,car,30,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,60,existing paid,education,6288,less 100,between 1 and 4 years,4,male single,none,4,no known property,42,none,for free,1,skilled,1,none,yes,bad
no checking,24,critical/other existing credit,used car,6842,no known savings,between 1 and 4 years,2,male single,none,4,life insurance,46,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
no checking,12,existing paid,new car,3527,no known savings,less 1 year,2,male single,none,3,life insurance,45,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
no checking,10,existing paid,new car,1546,less 100,between 1 and 4 years,3,male single,none,2,real estate,31,none,own,1,unskilled resident,2,none,no,good
no checking,24,existing paid,furniture/equipment,929,no known savings,between 4 and 7 years,4,male single,none,2,car,31,stores,own,1,skilled,1,yes,yes,good
no checking,4,critical/other existing credit,new car,1455,less 100,between 4 and 7 years,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,good
less 0,15,existing paid,furniture/equipment,1845,less 100,less 1 year,4,female div/dep/mar,guarantor,1,life insurance,46,none,rent,1,skilled,1,none,yes,good
between 0 and 200,48,no credits/all paid,new car,8358,between 500 and 1000,less 1 year,1,female div/dep/mar,none,1,car,30,none,own,2,skilled,1,none,yes,good
less 0,24,all paid,furniture/equipment,3349,between 500 and 1000,less 1 year,4,male single,none,4,no known property,30,none,for free,1,skilled,2,yes,yes,bad
no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,18,existing paid,furniture/equipment,1533,less 100,less 1 year,4,male mar/wid,co applicant,1,life insurance,43,none,own,1,unskilled resident,2,none,yes,bad
no checking,24,existing paid,radio/tv,3621,between 100 and 500,greater 7 years,2,male single,none,4,car,31,none,own,2,skilled,1,none,yes,bad
between 0 and 200,18,critical/other existing credit,business,3590,less 100,unemployed,3,male mar/wid,none,3,car,40,none,own,3,unemp/unskilled non res,2,yes,yes,good
less 0,36,delayed previously,business,2145,less 100,between 4 and 7 years,2,male single,none,1,car,24,none,own,2,skilled,1,yes,yes,bad
between 0 and 200,24,existing paid,used car,4113,between 500 and 1000,less 1 year,3,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,bad
no checking,36,existing paid,furniture/equipment,10974,less 100,unemployed,4,female div/dep/mar,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,12,existing paid,new car,1893,less 100,between 1 and 4 years,4,female div/dep/mar,guarantor,4,life insurance,29,none,own,1,skilled,1,yes,yes,good
less 0,24,critical/other existing credit,radio/tv,1231,greater 1000,greater 7 years,4,female div/dep/mar,none,4,life insurance,57,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,30,critical/other existing credit,radio/tv,3656,no known savings,greater 7 years,4,male single,none,4,life insurance,49,stores,own,2,unskilled resident,1,none,yes,good
between 0 and 200,9,critical/other existing credit,radio/tv,1154,less 100,greater 7 years,2,male single,none,4,real estate,37,none,own,3,unskilled resident,1,none,yes,good
less 0,28,existing paid,new car,4006,less 100,between 1 and 4 years,3,male single,none,2,car,45,none,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,24,existing paid,furniture/equipment,3069,between 100 and 500,greater 7 years,4,male single,none,4,no known property,30,none,for free,1,skilled,1,none,yes,good
no checking,6,critical/other existing credit,radio/tv,1740,less 100,greater 7 years,2,male mar/wid,none,2,real estate,30,none,rent,2,skilled,1,none,yes,good
between 0 and 200,21,delayed previously,new car,2353,less 100,between 1 and 4 years,1,male div/sep,none,4,life insurance,47,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,new car,3556,no known savings,between 1 and 4 years,3,male single,none,2,no known property,29,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,2397,between 500 and 1000,greater 7 years,3,male single,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad
between 0 and 200,6,existing paid,repairs,454,less 100,less 1 year,3,male mar/wid,none,1,life insurance,22,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,30,existing paid,radio/tv,1715,no known savings,between 1 and 4 years,4,female div/dep/mar,none,1,car,26,none,own,1,skilled,1,none,yes,good
between 0 and 200,27,critical/other existing credit,radio/tv,2520,between 500 and 1000,between 1 and 4 years,4,male single,none,2,life insurance,23,none,own,2,unskilled resident,1,none,yes,bad
no checking,15,existing paid,radio/tv,3568,less 100,greater 7 years,4,female div/dep/mar,none,2,car,54,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,42,existing paid,radio/tv,7166,no known savings,between 4 and 7 years,2,male mar/wid,none,4,life insurance,29,none,rent,1,skilled,1,yes,yes,good
less 0,11,critical/other existing credit,new car,3939,less 100,between 1 and 4 years,1,male single,none,2,real estate,40,none,own,2,unskilled resident,2,none,yes,good
between 0 and 200,15,existing paid,repairs,1514,between 100 and 500,between 1 and 4 years,4,male single,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,new car,7393,less 100,between 1 and 4 years,1,male single,none,4,life insurance,43,none,own,1,unskilled resident,2,none,yes,good
less 0,24,all paid,new car,1193,less 100,unemployed,1,female div/dep/mar,co applicant,4,no known property,29,none,rent,2,unemp/unskilled non res,1,none,yes,bad
less 0,60,existing paid,business,7297,less 100,greater 7 years,4,male single,co applicant,4,no known property,36,none,rent,1,skilled,1,none,yes,bad
no checking,30,critical/other existing credit,radio/tv,2831,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,yes,yes,good
greater 200,24,existing paid,radio/tv,1258,between 500 and 1000,between 1 and 4 years,3,female div/dep/mar,none,3,car,57,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,6,existing paid,radio/tv,753,less 100,between 1 and 4 years,2,female div/dep/mar,guarantor,3,real estate,64,none,own,1,skilled,1,none,yes,good
between 0 and 200,18,delayed previously,business,2427,no known savings,greater 7 years,4,male single,none,2,life insurance,42,none,own,2,skilled,1,none,yes,good
no checking,24,delayed previously,new car,2538,less 100,greater 7 years,4,male single,none,4,car,47,none,own,2,unskilled resident,2,none,yes,bad
between 0 and 200,15,all paid,new car,1264,between 100 and 500,between 1 and 4 years,2,male mar/wid,none,2,life insurance,25,none,rent,1,skilled,1,none,yes,bad
between 0 and 200,30,critical/other existing credit,furniture/equipment,8386,less 100,between 4 and 7 years,2,male single,none,2,life insurance,49,none,own,1,skilled,1,none,yes,bad
no checking,48,existing paid,business,4844,less 100,unemployed,3,male single,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
greater 200,21,existing paid,new car,2923,between 100 and 500,between 1 and 4 years,1,female div/dep/mar,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,36,existing paid,used car,8229,less 100,between 1 and 4 years,2,male single,none,2,life insurance,26,none,own,1,skilled,2,none,yes,bad
no checking,24,critical/other existing credit,furniture/equipment,2028,less 100,between 4 and 7 years,2,male single,none,2,life insurance,30,none,own,2,unskilled resident,1,none,yes,good
less 0,15,critical/other existing credit,furniture/equipment,1433,less 100,between 1 and 4 years,4,female div/dep/mar,none,3,life insurance,25,none,rent,2,skilled,1,none,yes,good
greater 200,42,no credits/all paid,business,6289,less 100,less 1 year,2,male div/sep,none,1,life insurance,33,none,own,2,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,1409,between 100 and 500,unemployed,2,female div/dep/mar,none,4,real estate,64,none,own,1,skilled,1,none,yes,good
less 0,24,existing paid,used car,6579,less 100,unemployed,4,male single,none,2,no known property,29,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,24,critical/other existing credit,radio/tv,1743,less 100,greater 7 years,4,male single,none,2,life insurance,48,none,own,2,unskilled resident,1,none,yes,good
no checking,12,critical/other existing credit,education,3565,no known savings,less 1 year,2,male single,none,1,life insurance,37,none,own,2,unskilled resident,2,none,yes,good
no checking,15,all paid,radio/tv,1569,between 100 and 500,greater 7 years,4,male single,none,4,car,34,bank,own,1,unskilled resident,2,none,yes,good
less 0,18,existing paid,radio/tv,1936,no known savings,between 4 and 7 years,2,male mar/wid,none,4,car,23,none,rent,2,unskilled resident,1,none,yes,good
less 0,36,existing paid,furniture/equipment,3959,less 100,unemployed,4,male single,none,3,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,new car,2390,no known savings,greater 7 years,4,male single,none,3,car,50,none,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1736,less 100,between 4 and 7 years,3,female div/dep/mar,none,4,real estate,31,none,own,1,unskilled resident,1,none,yes,good
less 0,30,existing paid,used car,3857,less 100,between 1 and 4 years,4,male div/sep,none,4,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,804,less 100,greater 7 years,4,male single,none,4,car,38,none,own,1,skilled,1,none,yes,good
less 0,45,existing paid,radio/tv,1845,less 100,between 1 and 4 years,4,male single,none,4,no known property,23,none,for free,1,skilled,1,yes,yes,bad
between 0 and 200,45,critical/other existing credit,used car,4576,between 100 and 500,unemployed,3,male single,none,4,car,27,none,own,1,skilled,1,none,yes,good
